last,first,pos,num,blocks,dz_block,nz_block,oz_block,p1_block,p2_block,p3_block,ot_block,5v5_block,ev_block,sh_block,pp_block,block_for_oi,block_for_oi_5v5,shot_blocked,dz_blocked,nz_blocked,oz_blocked,p1_blocked,p2_blocked,p3_blocked,ot_blocked,5v5_blocked,ev_blocked,sh_blocked,pp_blocked,block_against_oi,block_against_oi_5v5,block_wrist,block_slap,block_snap,block_back,block_deflect,block_tip,block_wrap,block_other,blocked_wrist,blocked_slap,blocked_snap,blocked_back,blocked_deflect,blocked_tip,blocked_wrap,blocked_other,g_block_5_5v5,b_block_5_5v5,g_block_10_5v5,b_block_10_5v5,g_block_5_ev,b_block_5_ev,g_block_10_ev,b_block_10_ev,g_block_5_pp,b_block_5_pp,g_block_10_pp,b_block_10_pp,g_block_5_sh,b_block_5_sh,g_block_10_sh,b_block_10_sh
SUTTER,BRODY,C,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHINKARUK,HUNTER,C,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HERTL,TOMAS,C,48,60.0,59.0,0.0,1.0,22.0,21.0,17.0,0.0,57.0,60.0,0.0,0.0,292.0,268.0,80.0,0.0,0.0,80.0,22.0,30.0,24.0,4.0,71.0,76.0,0.0,4.0,387.0,334.0,35.0,17.0,5.0,3.0,0.0,0.0,0.0,0.0,58.0,9.0,6.0,5.0,0.0,0.0,0.0,2.0,57.0,0.0,56.0,1.0,60.0,0.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KENNEDY,TYLER,C,48,9.0,9.0,0.0,0.0,4.0,2.0,3.0,0.0,9.0,9.0,0.0,0.0,107.0,104.0,31.0,0.0,0.0,31.0,17.0,7.0,7.0,0.0,28.0,28.0,0.0,3.0,128.0,104.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HINOSTROZA,VINCENT,C,48,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,16.0,16.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,14.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMPBELL,ANDREW,D,48,10.0,10.0,0.0,0.0,3.0,4.0,3.0,0.0,9.0,9.0,1.0,0.0,20.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
MILLER,COLIN,D,48,36.0,36.0,0.0,0.0,9.0,11.0,15.0,1.0,31.0,34.0,0.0,2.0,140.0,128.0,52.0,0.0,1.0,51.0,15.0,19.0,18.0,0.0,37.0,40.0,0.0,12.0,148.0,118.0,22.0,4.0,7.0,2.0,0.0,0.0,0.0,1.0,19.0,20.0,12.0,0.0,0.0,0.0,0.0,1.0,30.0,1.0,30.0,1.0,33.0,1.0,33.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
LINDBOHM,PETTERI,D,48,11.0,11.0,0.0,0.0,1.0,6.0,4.0,0.0,10.0,10.0,1.0,0.0,42.0,41.0,10.0,0.0,0.0,10.0,3.0,3.0,4.0,0.0,10.0,10.0,0.0,0.0,35.0,35.0,6.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
MARTINOOK,JORDAN,L,48,40.0,40.0,0.0,0.0,13.0,10.0,17.0,0.0,23.0,23.0,17.0,0.0,312.0,219.0,45.0,0.0,0.0,45.0,18.0,20.0,7.0,0.0,42.0,42.0,2.0,1.0,222.0,204.0,14.0,23.0,2.0,0.0,0.0,0.0,0.0,1.0,31.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,17.0,0.0
SHAW,LOGAN,R,48,20.0,20.0,0.0,0.0,6.0,7.0,7.0,0.0,18.0,18.0,2.0,0.0,116.0,100.0,15.0,0.0,0.0,15.0,5.0,4.0,6.0,0.0,14.0,14.0,0.0,1.0,102.0,86.0,7.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
