last,first,pos,num,misses,dz_miss,nz_miss,oz_miss,p1_miss,p2_miss,p3_miss,ot_miss,5v5_miss,ev_miss,pp_miss,sh_miss,miss_for_oi,miss_for_oi_5v5,miss_against_oi,miss_against_oi_5v5,miss_wide,miss_over,miss_post,miss_wrist,miss_slap,miss_snap,miss_back,miss_deflect,miss_tip,miss_wrap,miss_other
BRODZIAK,KYLE,C,28,27.0,0.0,0.0,27.0,8.0,12.0,7.0,0.0,24.0,25.0,0.0,2.0,119.0,112.0,142.0,101.0,21.0,5.0,1.0,18.0,2.0,1.0,0.0,0.0,5.0,0.0,1.0
CORMIER,PATRICE,C,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAREY,PAUL,C,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAUSTAD,PAUL,C,28,13.0,0.0,1.0,12.0,4.0,4.0,5.0,0.0,12.0,12.0,0.0,1.0,81.0,76.0,154.0,107.0,10.0,3.0,0.0,7.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0
GARBUTT,RYAN,C,28,33.0,0.0,1.0,32.0,14.0,10.0,9.0,0.0,33.0,33.0,0.0,0.0,99.0,99.0,75.0,71.0,28.0,5.0,0.0,18.0,4.0,2.0,4.0,2.0,3.0,0.0,0.0
GIRGENSONS,ZEMGUS,C,28,31.0,0.0,0.0,31.0,9.0,13.0,9.0,0.0,28.0,28.0,2.0,1.0,173.0,142.0,208.0,163.0,26.0,1.0,4.0,16.0,2.0,7.0,3.0,1.0,2.0,0.0,0.0
SEVERSON,DAMON,D,28,47.0,1.0,2.0,44.0,9.0,21.0,17.0,0.0,37.0,39.0,8.0,0.0,243.0,205.0,199.0,179.0,40.0,6.0,1.0,11.0,19.0,16.0,1.0,0.0,0.0,0.0,0.0
COLE,IAN,D,28,33.0,0.0,0.0,33.0,9.0,13.0,11.0,0.0,30.0,31.0,2.0,0.0,206.0,193.0,237.0,184.0,28.0,3.0,2.0,8.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0
TINORDI,JARRED,D,28,5.0,0.0,0.0,5.0,0.0,2.0,3.0,0.0,5.0,5.0,0.0,0.0,18.0,17.0,20.0,13.0,5.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ZIDLICKY,MAREK,D,28,17.0,0.0,0.0,17.0,3.0,5.0,7.0,2.0,8.0,10.0,7.0,0.0,182.0,147.0,121.0,115.0,15.0,1.0,1.0,6.0,7.0,0.0,1.0,0.0,3.0,0.0,0.0
BEAULIEU,NATHAN,D,28,25.0,0.0,0.0,25.0,8.0,8.0,9.0,0.0,20.0,21.0,4.0,0.0,195.0,164.0,203.0,183.0,22.0,2.0,1.0,10.0,11.0,3.0,0.0,0.0,1.0,0.0,0.0
JOHNS,STEPHEN,D,28,10.0,0.0,0.0,10.0,4.0,5.0,1.0,0.0,8.0,8.0,2.0,0.0,54.0,50.0,46.0,44.0,7.0,2.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
STRACHAN,TYSON,D,28,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AGOZZINO,ANDREW,L,28,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,10.0,10.0,14.0,14.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WILSON,GARRETT,L,28,10.0,0.0,0.0,10.0,3.0,5.0,2.0,0.0,10.0,10.0,0.0,0.0,49.0,48.0,40.0,40.0,8.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0
SCOTT,JOHN,L,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KORPIKOSKI,LAURI,L,28,31.0,0.0,1.0,30.0,9.0,10.0,11.0,1.0,28.0,29.0,1.0,1.0,142.0,122.0,227.0,170.0,30.0,0.0,1.0,19.0,0.0,2.0,2.0,1.0,7.0,0.0,0.0
BOYES,BRAD,R,28,41.0,0.0,1.0,40.0,16.0,16.0,9.0,0.0,25.0,26.0,15.0,0.0,203.0,121.0,102.0,96.0,38.0,1.0,2.0,24.0,6.0,5.0,1.0,1.0,3.0,0.0,1.0
GIROUX,CLAUDE,R,28,69.0,1.0,0.0,68.0,23.0,18.0,24.0,4.0,45.0,52.0,16.0,1.0,393.0,217.0,255.0,176.0,53.0,9.0,7.0,25.0,15.0,11.0,5.0,7.0,6.0,0.0,0.0
