last,first,pos,num,hits,oz_hits,nz_hits,dz_hits,p1_hits,p2_hits,p3_hits,ot_hits,5v5_hits,ev_hits,pp_hits,sh_hits,hits_taken,oz_hits_t,nz_hits_t,dz_hits_t,p1_hits_t,p2_hits_t,p3_hits_t,ot_hits_t,5v5_hits_t,ev_hits_t,pp_hits_t,sh_hits_t,g_hit_5_5v5,b_hit_5_5v5,g_hit_10_5v5,b_hit_10_5v5,g_hit_5_ev,b_hit_5_ev,g_hit_10_ev,b_hit_10_ev,g_hit_5_pp,b_hit_5_pp,g_hit_10_pp,b_hit_10_pp,g_hit_5_sh,b_hit_5_sh,g_hit_10_sh,b_hit_10_sh
TINORDI,JARRED,D,24,5.0,4.0,0.0,1.0,2.0,3.0,0.0,0.0,5.0,5.0,0.0,0.0,7.0,1.0,0.0,6.0,4.0,2.0,1.0,0.0,7.0,7.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENN,JORDIE,D,24,90.0,70.0,1.0,19.0,36.0,28.0,26.0,0.0,81.0,81.0,0.0,9.0,98.0,18.0,3.0,77.0,41.0,34.0,23.0,0.0,90.0,92.0,0.0,6.0,81.0,0.0,80.0,1.0,81.0,0.0,80.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0
DUMBA,MATT,D,24,83.0,66.0,1.0,16.0,32.0,28.0,22.0,1.0,76.0,77.0,6.0,0.0,90.0,17.0,2.0,71.0,38.0,24.0,27.0,1.0,84.0,85.0,4.0,1.0,76.0,0.0,76.0,0.0,77.0,0.0,77.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
DESPRES,SIMON,D,24,67.0,46.0,0.0,21.0,27.0,24.0,16.0,0.0,64.0,64.0,0.0,3.0,46.0,6.0,3.0,37.0,9.0,18.0,19.0,0.0,44.0,45.0,0.0,1.0,64.0,0.0,64.0,0.0,64.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0
NYSTROM,ERIC,L,24,92.0,69.0,4.0,19.0,38.0,26.0,28.0,0.0,90.0,90.0,0.0,2.0,42.0,4.0,2.0,36.0,20.0,11.0,11.0,0.0,39.0,40.0,0.0,2.0,90.0,0.0,89.0,1.0,90.0,0.0,89.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
DANAULT,PHILLIP,L,24,45.0,31.0,1.0,13.0,11.0,20.0,14.0,0.0,42.0,43.0,0.0,2.0,92.0,20.0,4.0,68.0,28.0,27.0,37.0,0.0,89.0,90.0,0.0,2.0,42.0,0.0,41.0,1.0,43.0,0.0,42.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
CRACKNELL,ADAM,R,24,94.0,75.0,2.0,17.0,32.0,32.0,30.0,0.0,92.0,93.0,0.0,1.0,51.0,9.0,2.0,40.0,22.0,14.0,15.0,0.0,50.0,50.0,1.0,0.0,92.0,0.0,92.0,0.0,93.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
FARNHAM,BOBBY,R,24,10.0,6.0,0.0,4.0,6.0,3.0,1.0,0.0,10.0,10.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUDLER,JIRI,R,24,28.0,24.0,0.0,4.0,8.0,14.0,6.0,0.0,26.0,26.0,2.0,0.0,33.0,4.0,0.0,29.0,10.0,16.0,7.0,0.0,25.0,26.0,7.0,0.0,26.0,0.0,26.0,0.0,26.0,0.0,26.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
READ,MATT,R,24,81.0,61.0,4.0,16.0,36.0,15.0,29.0,1.0,72.0,76.0,1.0,4.0,133.0,32.0,3.0,98.0,49.0,42.0,41.0,1.0,117.0,121.0,9.0,3.0,72.0,0.0,72.0,0.0,76.0,0.0,76.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0
