last,first,pos,num,pens,oz_pen,nz_pen,dz_pen,nozone_pen,p1_pen,p2_pen,p3_pen,ot_pen,5v5_pen,ev_pen,pp_pen,sh_pen,pen_mins,min_pen,dblmin_pen,maj_pen,mis_pen,gamemis_pen,match_pen,ps_pen,pen_drawn,oz_pen_dr,nz_pen_dr,nozone_pen_dr,dz_pen_dr,p1_pen_dr,p2_pen_dr,p3_pen_dr,ot_pen_dr,5v5_pen_dr,ev_pen_dr,pp_pen_dr,sh_pen_dr,pen_min_dr,min_pen_dr,dblmin_pen_dr,maj_pen_dr,mis_pen_dr,gamemis_pen_dr,match_pen_dr,ps_pen_dr
FLEISCHMANN,TOMAS,L,12,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
RICHARDSON,BRAD,R,12,19.0,1.0,3.0,4.0,11.0,5.0,11.0,3.0,0.0,12.0,17.0,0.0,2.0,46.0,16.0,1.0,2.0,0.0,0.0,0.0,0.0,18.0,3.0,3.0,12.0,0.0,6.0,6.0,5.0,1.0,13.0,17.0,0.0,1.0,42.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0
GIONTA,BRIAN,R,12,6.0,0.0,1.0,0.0,5.0,1.0,3.0,2.0,0.0,3.0,5.0,0.0,1.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,0.0,4.0,5.0,1.0,1.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
JONES,DAVID,R,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
STAFFORD,DREW,R,12,14.0,0.0,5.0,2.0,7.0,4.0,7.0,3.0,0.0,7.0,11.0,3.0,0.0,28.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,5.0,1.0,1.0,5.0,3.0,0.0,6.0,8.0,1.0,0.0,18.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
IGINLA,JAROME,R,12,16.0,0.0,3.0,1.0,12.0,6.0,6.0,4.0,0.0,10.0,14.0,2.0,0.0,41.0,13.0,0.0,3.0,0.0,0.0,0.0,0.0,17.0,2.0,3.0,11.0,1.0,6.0,4.0,6.0,1.0,12.0,15.0,2.0,0.0,43.0,14.0,0.0,3.0,0.0,0.0,0.0,0.0
GABORIK,MARIAN,R,12,9.0,2.0,0.0,2.0,5.0,6.0,3.0,0.0,0.0,6.0,7.0,2.0,0.0,20.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,9.0,0.0,3.0,4.0,4.0,0.0,9.0,11.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0
PAQUETTE,CEDRIC,C,13,21.0,1.0,8.0,0.0,12.0,7.0,4.0,10.0,0.0,16.0,21.0,0.0,0.0,51.0,18.0,0.0,3.0,0.0,0.0,0.0,0.0,30.0,3.0,4.0,22.0,1.0,9.0,11.0,10.0,0.0,17.0,29.0,0.0,1.0,67.0,26.0,0.0,3.0,0.0,0.0,0.0,1.0
JANMARK,MATTIAS,C,13,8.0,0.0,0.0,2.0,6.0,1.0,3.0,3.0,1.0,7.0,8.0,0.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,4.0,1.0,0.0,4.0,2.0,0.0,6.0,6.0,0.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
BONINO,NICK,C,13,14.0,2.0,1.0,0.0,11.0,1.0,6.0,7.0,0.0,10.0,14.0,0.0,0.0,31.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,7.0,1.0,3.0,4.0,3.0,0.0,4.0,6.0,1.0,3.0,29.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0
